identity,question,a,b,c,d,correct_ answer
hsc-zoology-12-1,BMI=30 - 34.9 kg/m^{2}འདི་ཨིན་པ་ཅིན་ མི་གི་གནས་ཚད་འདི་ག་ཅི་བཟུམ་ཅིག་འོང་ནི་ཨིན་ན?,ལྗིད་ཚད་མར་བབས་སོང་ཡོདཔ།,ལྗིད་ཚད་མར་བབས་སོང་མིའི་རིམ་པ་དང་པ་ཨིན།,ལྗིད་ཚད་མར་བབས་སོང་མིའི་གྱངས་ཁ་དེ་ བརྒྱ་ཆ་༣༠ ལུ་ལྷོད་ནུག།,ལྗིད་ཚད་མར་བབས་སོང་མིའི་སྐུགས་ཚད་༣ པ་ཨིན།,b
hsc-zoology-12-2,སྐྱོན་ཅན་ཚུ་གི་ཐད་ལུ་ རིགས་དབྱེ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,৩:১,৯:৭,১:২:১,১৩:৩,c
hsc-zoology-12-4,,ཝེན་ཊི་ཀའར་གྱི་ ཨེཊི་རི་ཨོཊི་ཨོཌ་ལུ་,པེར་ཀི་ནེཇ་གི་ རུས་ཚིགས་,sinus-atrial node འདི་ནང་ལུ་,ཁོ་གི་བཅའ་ཡིག་,c
hsc-zoology-12-5,"བྱུང་རྐྱེན་དང་འཁྲིལ་བ་ཅིན་ ཁོང་གཉིས་ཆ་རའི་ རིགས་མཚན་འདི་ ""...","\male _{x}B_{y}, \female _{x}B_{x}B འདི་ཡང་ སྦ་སྒོར་གི་མིང་ཨིན།","\male _{X}B_{Y}, \female _{X}B_{X}b འདི་ཡང་ སྦ་སྒོར་གི་མིང་ཨིན།","\male _{X}B_{Y}, \female _{X}b_{X}b འདི་ཡང་ སྦ་སྒོར་གི་མིང་ཨིན།","\male _{X}b_{Y}, \female _{X}b_{X}b འདི་ཡང་ སྦ་སྒོར་གི་མིང་ཨིན།",b
hsc-zoology-12-6,AB ཁྲག་སྡེ་ཚན་འདི་ནང་ལུ་ -,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",d
hsc-zoology-12-7,i. antigen གཉིས་ཆ་ར་རང་ཡོདཔ་ཨིན།,འཆི་བའི་སེམས།,སྲིད་བྱུས་,བར་འབྲེལ་གྱི་སྐྱེ་བོའིརིགས་,ཐེངས་གཉིས་འབད་མི་ རིགས་མཚན་འདི་ སྦ་བཞག་ནུག,d
hsc-zoology-12-8,༢། antibodies གཉིས་ཆ་ར་ མེད་པས།,Carolus Linnaeus གིས་འབད་བ་ཅིན་,The Lamarck འདི་ནང་ལུ་,སཱིལ་ཇི་ལཱལ་,ཨེར་ནེསི་ཊ་ མེ་ཡ་ར་,c
hsc-zoology-12-9,གསུམ་པ་ སྤྱིར་བཏང་གི་ཐོབ་ཐངས་,7,15,20,30,a
hsc-zoology-12-10,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",c
hsc-zoology-12-11,གྱངས་ཁ་འདི་ ༩:༧ ལུ་ཡོད་མི་དེ་ཡང་,སྒོང་རྡོག་ \rightarrow བྱམོ་ \rightarrow བྱམོ་ \rightarrow སྒོང་རྡོག་ \rightarrow imago,ཨོམ་ \rightarrow བྱི་ཅུང་ \rightarrow བྱི་ཅུང་ \rightarrow བྱི་ཅུང་ \rightarrow,སྦལཔ་ཚུ་གིས་ སྦལཔ་གི་སྒོ་ང་འདི་ སྦལཔ་གི་སྒོ་ང་འདི་ སྦལཔ་གི་སྒོ་ང་འདི་ སྦལཔ་གི་སྒོ་ང་འདི་,ཨའི་མག་གོ་ ཨའི་མག་གོ་ ཨའི་མག་གོ་ ཨའི་མག་གོ་ ཨའི་མག་གོ་,a
hsc-zoology-12-12,ཐབས་ཤེས་གསུམ་པ་ཟེར་མི་འདི་ ག་ལུ་སླབ་ནི་ཨིན་ན?,ཨ་ནཱན་ལི་དང་གཅིག་ཁར་,ཝེ་བེ་རི་ཡཱན་ རུས་ཚིགས་འདི་ ཌའི་ལོག་གི་ནང་འཁོད་ལུ་ཡོདཔ་ཨིན།,སེམས་ཀྱི་ཁ་ཐུག་གི་ས་སྒོ་འདི་དང་,དེ་ལས་ གློག་ཐག་ར་བ་འདི་ གློག་ཐག་ར་བ་གི་ས་སྒོ་ནང་ལུ་ ལྷོད་དེ་ཡོདཔ་ཨིན།,a
hsc-zoology-12-13,རུ་ཝང་ཉ་གི་སྒོ་རྡོག་འདི་ མུ་ཏིག་གི་རིང་ཚད་ག་དེམ་ཅིག་ལུ་ ལྷོད་དོ་ཡོདཔ་ཨིན་ན?,4,5,7,12,c
hsc-zoology-12-15,i. སྦྲགས་སྦྲགས་སྒྲོམ་,Myxini,Petromyzontida,Chondrichlhyes,Actinopterygii,a
