identity,question,a,b,c,d,correct _answer
hsc-chemistry-12-1,Orbital Hound གི་ལམ་ལུགས་འདི་ ག་ལུ་སྟོན་ནི་མེདཔ་ཨིན་ན?,s,p,d,f,a
hsc-chemistry-12-2,ཌོག་ཊར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་,རཱད་རར་ཕོརཌ་,བོ་ར་,ཌི་-བཱརག་ལི་,ཇ་. ཇ་. ཐཱོམ་སོན་,a
hsc-chemistry-12-3,ཀ་ལསི་ཡཱམ་ཕོསི་བེཊི་གི་ ཚུལ་མཐུན་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༢༧ S^{3} འདི་ ༢༧ S^{3} ཨིན།,S^{5} འདི་ལུ་,༢༧ S^{5},༡༠༨S^{5} འདི་ལུ་,d
hsc-chemistry-12-4,འ་ནི་འོག་གི་རྒྱུ་རྫས་ག་འདི་ནང་ལུ་ འགོ་དང་པ་རང་ ཤུགས་ཉུང་ཤོས་ཅིག་ཡོདཔ་ཨིན་ན?,Rb,ཀ་,ན,ལི་,a
hsc-chemistry-12-5,4f གི་མཐའ་འཁོར་གྱི་ (n+l) གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,4,6,7,11,c
hsc-chemistry-12-6,མཐུད་སྦྲེལ་གྱི་གྲལ་ལས་ ག་འདི་ཤུགས་ཆེ་ཤོས་ཨིན་ན?,པི་-སྦྲེལ་,སི་གམཱལ་-སྦྲེལ་,ཧའི་ཌོ་ཇེན་གི་ཕྲང་ལམ་,ཝཱན་ཌར་ ཝ་ལཱསི་གི་གླིངམ་,b
hsc-chemistry-12-7,འོག་གི་ལས་སྣ་ག་འདི་ བཱཕ་རེའི་སེལ་ཐབས་ཀྱི་ ཐབས་བྱུས་དང་འབྲེལ་བ་ཡོདཔ་སྨོ་,La-Shatellierགི་སྲིད་བྱུས་,ཨར་ཧེ་ནི་ཡཱསི་གི་རྩིས་གཞི་,ཨོསི་ཝཱལ་ཌི་གི་ དམའ་ཕབ་གཏང་ནིའི་ལམ་ལུགས་,Fazan གི་ལམ་ལུགས་,a
hsc-chemistry-12-8,25^{\circ}C གི་ཆུ་གི་ pK_{w}གི་གནས་གོང་འདི་ག་ཅི་ཨིན་ན?,7,10,12,14,d
hsc-chemistry-12-9,གློག་ཤུགས་ཁེ་རྒོ་ཅན་གི་རིམ་པ་ངོ་མ་འདི་ག་ཅི་ཨིན་ན?,I > Br > Cl,F > O > Cl,F > Cl > O,N > I > Br,b
hsc-chemistry-12-10,ལྕགས་ཀྱི་དོག་མ་ཤུགས་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,CsCl,RbCl,MgCl_{2},CaCl_{2} འདི་ཡང་,c
