Question No.,Question,a,b,c,d,Correct Answer
hsc-advanced_chemistry-12-1,STPལུ་ ག་རམ་རེ་ལུ་ ག་རམ་རེ་སྦེ་རྩིས་སྟོནམ་ཨིན། ལི་ དེ་ནང་ལུ་ ལྗིད་ཚད་ཉུང་དྲགས་ཅིག་ཡོདཔ་ཨིན་མེན་ན་?,N₂,O₂,CO₂,NO₂,a
hsc-advanced_chemistry-12-2,Sₙ2 ཚོང་འབྲེལ་གྱི་ཐད་ལུ་ལག་ལེན་འཐབ་ནི་ཨིན་པ་ཅིན་?,i,ii,iii,"i, ii & iii",c
hsc-advanced_chemistry-12-3,འོད་ཤུགས་ལྡན་བཟོ་མི་ ཨལ་ཁོརཊི་ག་འདི་ག་ཅི་ཨིན་ན?,2-Methylbutane-1-ol,2-Methylbutane-2-ol,2-Methylpentane-3-ol,2-Methylpentane-2-ol,a
hsc-advanced_chemistry-12-4,འོག་གི་རྒྱུ་རྫས་ཚུ་ག་འདི་ ཚད་ལྡན་གཉིས་པ་ཨིན་ན།,KMnO₄,K₂Cr₂O₇,Na₂CO₃,Na₂C₂O₄·2H₂O,a
hsc-advanced_chemistry-12-5,ཆུ་ཀེ་ཇི་༡.༨ དེ་ནང་ལུ་ ཧའི་ཌོ་ཇེན་གྱི་ཨ་ཊོམ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,-,-,-,-,-
hsc-advanced_chemistry-12-6,བརྡ་སྟོན་གྱི་སྒོ་ར་སྒོའི་རིགས་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,1,2,3,5,b
hsc-advanced_chemistry-12-7,Pyrrolignose acidནང་ལུ་ ethaneic acidགི་ཆ་ཤས་འདི་?,0.1-0.5%,2-4%,8-10%,30-40%,-
hsc-advanced_chemistry-12-8,ག་ཟའི་སྒོ་ལམ་གྱི་ཁྱབ་ཚད་དེ་ ག་བཟུམ་ཅིག་ཨིན་ན?,"C₂H₆, NO","CH₄, HN₃","NO, CO","CO₂, PH₃",a
hsc-advanced_chemistry-12-9,Br⁻ + BrO₃⁻ + 6H⁺ → Br₂ + 3H₂O; འ་ནི་གོམས་གཤིས་འདི་ནང་ལུ་?,i,ii,iii,"i, ii & iii",b
hsc-advanced_chemistry-12-10,"Pt, H_{2}(g)(1atm)/HCl(1M) \parallel AgNO_{3}(1M)/Ag(s) ཚུ་དང་ཕྱདཔ་ད་ གནམ་གཤིས་གནས་སྟངས་འདི་ 25°C ནང་ལུ་ E°C = -0.80V",ཇི་ཨེམ་ཨེཕ་དེ་,ཇི་ཨེམ་ཨེཕ་དེ་,ཇི་ཨེམ་ཨེཕ་དེ་,ཇི་ཨེམ་ཨེཕ་དེ་,?
hsc-advanced_chemistry-12-12,གྲོས་ཆོད་གི་རྒྱ་ཚད་ གྲོས་ཆོད་དེ་གི་གཞི་རྩ་འདི་ གྲོས་ཆོད་ཀྱི་རྒྱ་ཚད་,?,?,?,?,?
hsc-advanced_chemistry-12-13,གཉིད་ལོག་ནི་གི་སྨན་འདི་ག་ཅི་ཨིན་ན།,formaldehyde,acetaldehyde,paraldehyde,metaldehyde,?
hsc-advanced_chemistry-12-14,ཇི་ཨིས་ཌི་འདི་འཇམ་ཏོང་ཏོ་ཅིག་ཨིན་ན།,HClO_{4},H_{2}SO_{4},HNO_{3},H_{2}CO_{3},?
hsc-advanced_chemistry-12-15,འོག་གི་བརྡ་སྟོན་ཚུ་གི་གྲལ་ལས་ ག་འདི་ངོ་མ་ཨིན་ན?,- COCH_{3},- OCOCH_{3},- NHCOCH_{3},- OCH_{3},?
hsc-advanced_chemistry-12-16,"""ཕེན་ཕེཊ་ཐཱ་ལིན་- i. ཨེསི་ཌི་འདི་ སྣུམ་འཁོར་ནང་ཡོད་པའི་མར་ཁུ་ལུ་བརྟེན་ འགྱུར་བ་འགྱོ་དོ་ཡོདཔ་ཨིན། ༢། ལྕངམ་གིས་ ལྕངམ་གི་རྣམ་པ་བསྒྱུར་བཅོས་འབདཝ་ཨིན། གསུམ་པ་ འབྱེམ་ཁུ་སིམ་སི་དང་ ཤུགས་ཆེ་བའི་ཁུ་སིམ་སི་གི་ཨང་གྲངས་ཚུ་ བཀྲམ་སྟོན་འབད་ནིའི་དོན་ལུ་ ལག་ལེན་འཐབ་ཨིན།",i i,ii ii,iii,"ii, iii",?
hsc-advanced_chemistry-12-17,AgNO_{3}ལུ་ གློག་ཤུགས་ ༠.༡F བྱིན་པ་ཅིན་ ཀ་ཐོཌ་ནང་ལུ་ དངུལ་ག་དེ་ཅིག་སྤུངས་འོང་ག་,108,10.8,1.08,0.108,?
hsc-advanced_chemistry-12-18,གློག་རིག་གི་དབྱེ་ཞིབ་ནང་ ག་འདི་ཧེ་མ་གློད་བཀྲོལ་གཏང་ནི་ཨིན་ན,?,?,?,?,?
hsc-advanced_chemistry-12-19,བརྒྱ་ཆ་ ༡༠་གི་ནང་ལུ་ མེ་ཏན་ལཱལ་གྱི་གནས་ཚད་འདི་ མོལ་རི་ཊི་ ༡་ལུ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,3.125,3.51,4.43,5.61,a
hsc-advanced_chemistry-12-20,ཇི་ཨོ་ཌི་ཡཱནསི་ཊི་ ཨེཆ་སི་ཌི་ཡཱནསི་འདི་ག་ཏེ་ཡོདཔ་ཨིན་ན?,"Pt, Cl_{2}/Cl^{-}","Ag, AgCl(s)/Cl^{-}","Na, Hg/Na^{+}","Pt, Fe^{2+}/Fe^{3+}",d
hsc-advanced_chemistry-12-21,ཆུ་གི་གནས་ཚད་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,2-4 mg\L,4-8 mg\L,8-10 mg\L,10-12 mg\L,-
hsc-advanced_chemistry-12-22,གཞི་རྟེན་གནས་ཚད་ཀྱི་ རྒྱུ་རྫས་འདི་ག་ཅི་ཨིན་ན།,H_{2}SO_{4},HCl,KMnO_{4},K_{2}Cr_{2}O_{7},d
