identity,question,a,b,c,d,correct_ answer
hsc-advanced_math-12-1,མདའ་གཞུ་འདི་ གྱང་གི་ནང་ན་ ཨེན་ཊི་༣་འཛུལ་བའི་ཤུལ་ལས་ མདའ་གཞུ་གི་ཤུགས་ཕྱེད་ཀ་ཡལ་འགྱོ་འོང་། ཚ་གྱང་འདི་ནང་ལུ་ མདའ་གཞུ་འདི་ ག་དེ་ཅིག་མགྱོགས་མགྱོགས་སྦེ་འགྱོ་ཚུགས་ག?,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{2}{3} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,1,d
hsc-advanced_math-12-2,\sqrt[4]{- 49}གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\pm \sqrt{7}i འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\pm \sqrt{\frac{7}{2}} (1 \pm i) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\pm \frac{7}{2} (\pm i) འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་,\frac{7}{\sqrt{2}} (1 \pm 2i) འདི་ སྦྲེལ་རྟགས་ཨིན་,b
hsc-advanced_math-12-3,3x^{3} - 1 = 0 ཨིནམ་དང་ འདི་ཡང་ ཕྱོགས་མཚུངས་ཀྱི་རྩ་བ་ \alpha^{3} + \beta^{3} + \gamma^{3} = ?,-1,0,\frac{1}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,1,d
hsc-advanced_math-12-4,ཌི་བི་ཨེམ་ཨའེ་ཊི་གི་གཞི་རྩ་ \frac{1}{2 + i}ཡོད་པ་ཅིན་,9x^{2} - 12x + 5 = 0 ཨིན་པས།,5x^{2} - 4x + 1 འདི་ ༠ ཨིན་པས།,5x^{2} + 14x + 1 འདི་ ༠ ཨིན།,25x^{2} - 20x + 3 འདི་ ༠ ཨིན།,b
hsc-advanced_math-12-6,i. \alpha + \beta = p,"- 1, 5","1, 5","- 2, - 2","- 3, 1",a
hsc-advanced_math-12-7,ii. \alpha\beta = pq,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-8,iii. \frac{1}{\alpha} + \frac{1}{\beta} = \frac{1}{q},"\left (\frac{9}{4}, -1 \right) དེ་ ཨང་དང་པམ་དེ་ཨིན།","\left (\frac{9}{4}, -2 \right) དེ་ ཨེ་རེ་ཨིན་ཌི་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་","\left (\frac{5}{4}, -1 \right) དེ་ ཨང་དང་པམ་དེ་ཨིན།","\left (\frac{13}{4}, -1 \right) དེ་ ཨང་དང་པམ་དེ་ཨིན།",c
hsc-advanced_math-12-9,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,4\sqrt{2} དེ་ཚུ་,8\sqrt{2} དེ་ཚུ་,༩\sqrt{2} འདི་ཚུ་,4\sqrt{6} འདི་ཚུ་,b
hsc-advanced_math-12-10,y^{2} + 4x + 2y - 8 = 0 འདི་འཁོར་ལོའི་ལྟེ་བ་ལུ་ཡོདཔ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-11,ཟུར་ཐིག་གཉིས་ཆ་ར་ལུ་ རྒྱང་རིང་གི་མཐའ་འཁོར་གྱི་མཐའ་འཁོར་སྦེ་བརྩིས་ཏེ་ སྦོམ་ཤོས་ཀྱི་མཐའ་འཁོར་རིང་ཚད་འདི་ ༡༢ དང་ སྦོམ་ཤོས་ཀྱི་མཐའ་འཁོར་རིང་ཚད་འདི་ = \frac{1}{3}ཨིན་པ་ཅིན་ ཆུང་ཤོས་ཀྱི་མཐའ་འཁོར་རིང་ཚད་དེ་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,\frac{5}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{5}{4}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{\sqrt{7}}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{\sqrt{7}}{4} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,a
