identity,question,a,b,c,d,correct_ answer
hsc-physics-12-1,ལྕགས་ཀྱུ་རེ་ལུ་ཤུགས་༥༠༠ ནུས་ཤུགས་བྱིན་པ་ཅིན་ ལྕགས་ཀྱུ་འདི་སེན་ཊི་མི་ཊར་ ༡༠ ལུ་ཡར་འཕར་འགྱོ་འོང་། ཀི་ལོ་གྷ་༢༠གི་ལྗིད་ཚད་ཡོད་པའི་ ཀ་ལ་ཅིག་མར་འབབ་འགྱོ་བ་ཅིན་ ཀ་ལ་དེ་གི་ཤུགས་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༠.༠༤ J,༡.༩༠ J,༣.༨༠ J,༩༨ J,c
hsc-physics-12-2,འཛམ་གླིང་གི་མཐའ་འཁོར་ལུ་ དཀྱིལ་འཁོར་གཏང་ནིའི་དོན་ལས་ རྒྱལ་ཡོངས་ཀྱི་དྲན་རྟེན་གྱི་ མགྱོགས་ཚད་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,བརྒྱ་ཆ་ ༡༠^{5}rads^{-1}ལུ་ བརྒྱ་ཆ་ ༧.༢༧ \times ༡༠^{5}rads^{-1},rads^{-1} གི་གནས་གོང་དེ་ 0.2618 ཨིན།,1.818\times 10^{-4}rads^{-1} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,ཕྲང་ཐིག་གི་གྱངས་ཁ་འདི་ ༧.༢༧\times ༡༠^{-5}rads^{-1}ཨིན།,d
hsc-physics-12-3,ལྡེ་མིག་གི་ཤུགས་ཚད་དེ་ ༡༥ དང་ ༣༠ གི་བར་ན་ཨིན།,0.785s ཨིན་པུཊི་,1.57 s ཨིན་པས།,༣.༡༤ ཚུན་,༦.༢༨ ཚུན་,c
hsc-physics-12-4,stimulus particle གི་གནས་ཡུན་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-physics-12-5,ལྡེ་མིག་གི་ཤུགས་ཚད་དེ་ ༡༥ cms^{-1} དང་ ༣༠ cms^{-2} ཨིན།,ནེ་ལཱལ་ ཝེ་ཀཊར་,ཟུར་ཐིག་གི་བེ་ཊར་,ས་གཞི་ནང་གི་བེ་ཊར་,ཝེ་ཀཊར་རྐྱང་པ་,d
hsc-physics-12-6,གློག་ཤུགས་འཕར་འགྱོ་བའི་རྒྱུ་རྫས་ཚུ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-physics-12-7,i. རྒྱ་ཚད་ 7.5 cm,\vec{A}.\vec{B} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{1}{2}\left. \vec{A}\times \vec{B} \right. འ་ནི་ལས་ཀ་འདི་གིས་ ཌེཀསི་ཊོཔ་ སི་ཊོཔ་ ཌེཀསི་ཊོཔ་ བི་བི་ལུ་ ཕན་ཐོགས་འོང་།,\frac{1}{2}\left གིས་ \vec{A} དང་ \vec{B} གིས་ \right གིས་འབད་ཡོདཔ་ཨིན།,\left. \vec{A}\times \vec{B} \right. འ་ནི་གློག་རིམ་འདི་ སྦྲེལ་མཐུད་འབདཝ་ཨིན།,b
hsc-physics-12-8,༢། གློག་ཤུགས་པེ་ལུ་ ༠ ལུ་ལྷོད་ནུག,པི་ + ཀི་,#ERROR!,P - Q,\sqrt{P^{2}+Q^{2}-PQ} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,d
hsc-physics-12-9,གསུམ་པ་ མཐུན་ལམ་ནང་ དབྱེ་བ་སྦོམ་ཡོདཔ་ཨིན།,\vec{\tau}=\vec{F}\times \vec{r} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་པ་ཅིན་,\vec{\tau}=\vec{P}\times \vec{r} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\vec{\tau}=\vec{r}\times \vec{F} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་པ་ཅིན་,\vec{\tau}=\vec{r}\times \vec{P} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,c
hsc-physics-12-10,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཐེངས་གཉིས་པ།,ཐེངས་བཞི་ཨིན།,བརྒྱད་གྱངས་ཁ་རྐྱབས།,ཚར་ ༡༦,c
hsc-physics-12-13,i. རླུང་ཤུགས་ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,ཀི་ལོ་མི་ཊར་ ༡༡.༢^{-1},ཀི་ལོ་མི་ཊར་༧.༨༨^{-1},ཀི་ལོ་མི་ཊར་ ༥.༧,ཀི་ལོ་མི་ཊར་ ༣.༢༤^{-1},b
hsc-physics-12-14,༢། རླུང་མ་ཤུགས་སྦེ་འཕུར་འགྱོ་དོ་ཡོདཔ་ཨིན།,ལེགས་བསྒྱུར་གྱི་གནས་ཚད་,ནད་འབུབ་གི་གནས་ཚད་,ཡོངས་བསྡོམས་ཀྱི་ལཱ་,ས་སྒོ་གཅིག་ནང་ལུ་ ནུས་ཤུགས་སོ་སོ་ཡོདཔ་ཨིན།,a
hsc-physics-12-15,གསུམ་པ་ ཆུ་གི་སེརཔོ་གི་ཤུགས་འདི་ ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,\frac{2\pi}{\omega }འདི་ ཨང་དང་པམ་གཉིས་པ་ཨིན།,༢\pi\omega,\frac{\pi}{\omega}ལུ་ ཨེབ་གཏང་འབད་ཞིནམ་ལས་,\frac{\omega }{2\pi}ལུ་ ཨེབ་གཏང་འབད།,a
hsc-physics-12-16,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཡར་སེང་འགྱོ་འོང་།,མར་ཕབ་འགྱོ་འོང་།,འདི་བཟུམ་སྦེ་ར་,དེ་ཚུ་དུས་རྒྱུན་གྱི་དོན་ལུ་ཨིན།,a
hsc-physics-12-17,མེ་རླུང་རྒྱ་རྫི་གི་གློག་ཤུགས་དེ་ ཚད་ལྡན་དྲོད་ཚད་ལུ་,\frac{k}{2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,༢k,\frac{k}{4}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,༤k,b
hsc-physics-12-18,དེ་སྦེ་སླབ་ད་ལུ་ ཐབས་ཤེས་ག་ཅི་བཏོན་ནི་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-physics-12-19,\frac{1}{2}\hat{i}+\frac{1}{2}\hat{j}+m\hat{k} འདི་བེ་ཀཊར་གཅིག་ཨིན་པ་ཅིན་ m གི་གནས་གོང་འདི་ག་ཅི་ཨིན་ན?,ཚད་ལྡན་ཨིན།,ལཱ་གཡོག་གི་ཐད་ཁར་,རྩ་རིམ་གཉིས་དང་ཕྱདཔ་ད་,ཀོ་ར་རྩ་གི་ བཀྲིས་སྒང་,c
hsc-physics-12-20,\vec{A}=2\hat{i}+2\sqrt{3}\hat{j} ཝེ་ཊར་འདི་ y-axis ལུ་ཐད་ཀར་དུ་སོར་ཐིག་ག་ཚོད་ཡོདཔ་ཨིན་ན?,བོ་ཡེལ་དང་ ཤ་ལཱསི་གི་གཞི་བཀོད་ཚུ་དང་འཁྲིལ་ ཚ་དྲོད་ཅན་གྱི་ཁུ་བ་གིས་,ཆུམ་གྱི་ཁུ་བ་འདི་ ས་གནས་གཅིག་ནང་ལུ་ རྐྱངམ་གཅིག་ཐོན་འོང་།,རླུང་མ་ཤུགས་སྦེ་འཕུར་འགྱོ་བ་ཅིན་ རླུང་མ་ཤུགས་སྦེ་འཕུར་འགྱོ་འོང་།,ཚ་དྲོད་འདི་ཚིམས་པའི་སྐབས་དང་ ཚ་དྲོད་འདི་དྲོད་མ་ཚིམས་པའི་སྐབས་ འདྲན་འདྲ་ཨིན།,d
hsc-physics-12-22,i. གློག་མེའི་ཤུགས་ཚད་,༠^{\circ} འདི་ཡང་,༣༠^{\circ} འདི་ཡང་,༦༠^{\circ}ལུ་,༩༠^{\circ} འདི་ཡང་ 90^{\circ} འདི་ཡང་,b
hsc-physics-12-23,༢། འཛམ་གླིང་གི་ཚད་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-physics-12-24,གསུམ་པ་ མཐོ་ཚད་དང་གཏིང་ཚད་,སྤྱི་ཚེས་༣ ལུ་,སྤྱི་ཟླ་༧ པའི་ཚེས་༤,སྤྱི་ཟླ་༧ པའི་ཚེས་༢,0,a
hsc-physics-12-25,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,"\vec{r}\times \vec{F}, \vec{r}\times \vec{P} འདི་ ཀེར་ཐིག་གི་ ཕྲ་རིང་ཅིག་ཨིནམ་ལས་ ཀེར་ཐིག་གི་ ཕྲ་རིང་དེ་ ཀེར་ཐིག་གི་ ཕྲ་རིང་དེ་ཨིན།","\vec{r}\times \vec{P}, \vec{r}\times \vec{F} འདི་ཡང་ ཀེར་ཐིག་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་","\vec{F}\times \vec{r}, \vec{r}\times \vec{P} འདི་ ཀེར་ཐིག་གི་ ཕྲ་རིང་ཅིག་ཨིནམ་ལས་ ཀེར་ཐིག་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་དེ་ ཀེར་ཐིག་གི་ ཕྲ་རིང་དེ་ཨིན།","\vec{r}\times \vec{P}, \vec{F}\times \vec{r} འདི་ཡང་ ཌའི་ལོག་གི་ ཌའི་ལོག་གི་ ཌའི་ལོག་གི་ ཌའི་ལོག་གི་",a
hsc-physics-12-26,འཛམ་གླིང་འདི་ ཉིམ་ལས་ས་ཐག་རིང་ས་འགྱོ་བའི་བསྒང་ལས་ ཉིནམ་གི་གྱངས་ཁ་འདི་ ལོ་བསྟར་གཅིག་ལུ་ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,གློག་ཤུགས་,གློག་ཤུགས་ཀྱི་ནུས་པ་,དྲོད་ཚད་,གློག་ཤུགས་,d
hsc-physics-12-28,i. དུས་ཡུན་ 3s,100%,200%,300%,400%,a
hsc-physics-12-29,༢། མགྱོགས་ཚད་ཕབ་ཆག་ 1.88 ms,2:03,1:\sqrt{3} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\sqrt{2}:\sqrt{3} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\sqrt{3}:\sqrt{2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན།,c
