identity,question,a ,b,c,d,correct _answer
hsc-advanced_physics-12-1,question,9:04,4:09,25:01:00,1:25,a
hsc-advanced_physics-12-2,མཐུད་སྦྲེལ་འབྱུང་ཁུངས་གཉིས་ཆ་རའི་ཁྱབ་ཚད་དེ་ ༣:༢ ལུ་བརྒལ་མེདཔ་ཨིན། ཌེང་གི་གི་ཤུགས་ཚད་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,1.62 \times 10^{10}_{1} Wbm^{-2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,1.8 \times 10^{7} Wbm^{-2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,1.8 \times 10^{-7} Wbm^{-2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,1.62 \times 10^{-10} Wbm^{-2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,c
hsc-advanced_physics-12-3,གློག་མེའི་གློག་ཤུགས་ཀྱི་ཁྱབ་ཚད་དེ་ 54 Vm^{-1} ཨིནམ་ལས་ གློག་མེའི་གློག་ཤུགས་ཀྱི་ཁྱབ་ཚད་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་,༡༣༨ ཀ,ཀི་ལོ་མི་ཊར་༢༠༧,ཀི་ལོ་མི་ཊར་ ༥༧༥,༨༦༣ ཀ,c
hsc-advanced_physics-12-5,,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_physics-12-6,འཕྲུལ་ཆས་འདི་ ནུས་ཤུགས་བརྒྱ་ཆ་༦༠ བཟོ་ཚུགས་པ་ཅིན་ མཁོ་མངགས་འབད་མི་གི་ མེ་རླུང་གི་དྲོད་ཚད་འདི་ བརྟག་ཞིབ་འབད་དགོཔ་ཨིན།,གློག་རིག་གི་རྦ་རླབས་,མེ་རླུང་རྒྱ་རྫི་,མཐོང་མ་བཏུབ་པའི་གློག་ཐག་ར་བ་,ཕྲ་འོད་འདི་ ཕྲ་འོད་ཨིན་ཝཱལ་ཝཱལ་ཨིན་ཝཱལ་ཨིན་མས།,d
hsc-advanced_physics-12-7,i. གློག་ཤུགས་འབྱུང་སའི་གནས་ཚད་འདི་ ཀི་ལོ་མི་ཊར་༨༦༢.༥ ལུ་འགྱུར་འོང་།,5.67,2.17,0.46,0.18,a
hsc-advanced_physics-12-8,༢། གློག་ཐག་ར་བ་འདི་ ༢༨༧.༥ Kལུ་ཡར་འཕར་འགྱོ་འོང་།,མཐུད་སྦྲེལ་འབད་ཚུགསཔ་,སྐྱེལ་འདྲེན་འབད་,སྣུམ་འཁོར་ཕྱེད་གནས་,ནང་ཐིག་,b
hsc-advanced_physics-12-9,གསུམ་པ་ གློག་ཤུགས་ཀྱི་དྲོད་ཚད་འདི་ ཀི་ལོ་ཇི་ ༢༨༧.༥ ལུ་མར་བབས་འགྱོ་འོང་།,"Si, As, C འདི་ཚུ་ཨིན།",གིསི་ ཨེལ་,"Ge, Si, Al འདི་ཚུ་",གི ས ་ སི ་ ཀ ་,d
hsc-advanced_physics-12-10,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,རིང་ཚད་འདི་ མར་བབས་འགྱོ་དོ་ཡོདཔ་ཨིན།,ལྗིད་ཚད་མར་བབས་འགྱོ་དོ་ཡོདཔ་ཨིན།,རིང་ཚད་ཡར་སེང་འགྱོ་དོ་ཡོདཔ་ཨིན།,དུས་ཚོད་འདི་ མགྱོགས་དྲགས་སྦེ་རང་གངམ་འགྱོ་དོ་ཡོདཔ་ཨིན།,a
